Economy,Year,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Carbon dioxide (CO2) net fluxes from LULUCF - Total excluding non-tropical fires (Mt CO2e),Total greenhouse gas emissions per capita excluding LULUCF (t CO2e/capita),Electricity production from coal sources (% of total),"Energy imports, net (% of energy use)",Energy intensity level of primary energy (MJ/$2021 PPP GDP),Energy use (kg of oil equivalent per capita),Fossil fuel energy consumption (% of total),Renewable electricity output (% of total electricity output),Renewable energy consumption (% of total final energy consumption),Cooling Degree Days,Heating Degree Days,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Standardised Precipitation-Evapotranspiration Index,"Agriculture, forestry, and fishing, value added (% of GDP)",Food production index (2014-2016 = 100),"Adjusted savings, natural resources depletion (% of GNI)","Adjusted savings, net forest depletion (% of GNI)","Annual freshwater withdrawals, total (% of internal resources)",Forest area (% of land area),Terrestrial and marine protected areas (% of total territorial area),Tree Cover Loss,Score
Lithuania,2017,87.22548079928323,74.87337921956679,69.49865955881216,100.0,3.3552099382332514,66.49181786585588,59.11080317497763,60.454083907397234,73.31089091123687,38.625,95.8553608254348,45.45925613845081,97.6932757617218,37.89837039415588,47.1634326843149,58.16119886593762,99.30701007354072,100.0,81.0706950929096,47.2151219838392,30.62730627306273,21.129773789941027,65.41344843926804
Lithuania,2018,83.8812430979518,72.99937135044507,69.94272894272379,100.0,3.056835157431543,67.43721878554734,58.450088713985366,60.454083907397234,76.8680809640145,38.5,80.41943479750381,47.50861583025326,97.74385914660346,24.85349602633057,41.59291336826968,23.795058728230032,99.25555806452788,100.0,81.32258421063017,47.26711710912562,30.811808118081185,23.320822490357457,63.04163432793829
Lithuania,2019,86.06229033400706,73.5910556065376,69.44514482425039,100.0,2.905681990773658,69.38301150846438,58.49033662983953,60.454083907397234,76.34479581956795,38.25,84.71185689239388,53.33085138290932,96.9375721803572,40.66388376013486,43.68897686847879,45.40299716484407,99.61218783225117,100.0,77.61136241731855,47.31829341354138,30.811808118081185,21.532825138353004,64.75353468489224
Lithuania,2020,88.73872231367075,73.66575961802386,69.81151493009637,100.0,3.0249245940751024,70.1325209282803,58.87274694263064,60.454083907397234,59.06991026860928,36.0,87.38336904753908,55.99852016623622,96.13143757370396,56.15316689411575,47.03168366680893,72.01296071283917,99.81042769599914,100.0,74.4261193481616,47.34012863675878,30.811808118081185,22.082857409375777,65.27969393776137
Luxembourg,2012,83.11915279311567,55.394903406019424,0.0,100.0,0.310785657092083,71.7957841686493,26.325514958472866,4.273393587493523,33.034542041940114,1.625,92.87820672143592,57.41148131593167,94.90372397317252,88.12314361403226,2.493393048014638,34.83191575536651,97.45746063795087,94.43476830121472,65.0286071674224,46.39207053868861,66.78966789667896,54.398981965275,55.34880134432184
Luxembourg,2013,82.25548517492135,56.69012011158189,7.645917700513024,100.0,0.3214507224742249,74.05719219898765,27.970231067701093,6.071289588503774,46.50385988074113,3.5,88.56227370740325,52.644502615967966,95.09325930688574,99.29758368788632,1.768690385533307,40.319967598217886,98.4536055616616,95.81761212104408,65.65503230096255,46.39207053868861,66.78966789667896,56.39841099232496,57.25155206030892
Luxembourg,2014,86.7100410476528,56.16216812792499,14.702658756091154,100.0,0.2672353523392345,76.42498416951096,29.881496556409104,6.90133059122784,46.94463100041467,4.875,92.52285597210934,66.95407496968558,94.72683448567972,78.66661314923336,2.537340312378132,49.97974888618873,98.6239866937248,94.90633070258303,64.4592803500988,46.39207053868861,62.361623616236166,54.673872205750506,57.47603112815878
Luxembourg,2015,85.68463109203427,55.79123294701226,21.56335063986127,100.0,0.1971110743264787,78.16606096549744,31.38980719232188,8.551297216917547,65.87637727918883,7.75,82.32583446969443,61.33479138195233,94.8784322807317,54.62792004495464,0.680528151203772,60.895099230457646,99.1714839187298,93.99747016544022,64.94638693644097,46.39207053868861,57.93357933579336,56.89273565407993,57.085498526940775
Luxembourg,2016,87.7117496301544,56.60286925875842,25.848131358090757,100.0,0.0509086471029931,80.27647679841013,32.37098137313393,60.454083907397234,84.458326761805,13.25,89.48726044052745,58.09024418424163,94.92901566561336,94.61347033796258,0.4046373330682513,59.1737545565006,99.33978130741136,95.2098215521386,65.11112912469808,46.39207053868861,75.46125461254613,53.09986619251638,64.95513031585911
Luxembourg,2017,87.72399099868731,55.94068781848234,26.6153474083946,100.0,0.0015692956648649,79.96951780198565,32.5132117062206,60.454083907397234,86.06620131541979,15.5,86.29111891822902,60.61203030158031,94.7774178705614,77.35409809745524,0.994450180942528,66.1401377075739,99.41008161886326,95.7162386792354,64.62047966492133,46.39207053868861,73.43173431734317,55.00168708767888,64.25962607372368
