Economy,Year,Access to clean fuels and technologies for cooking  (% of population),Access to electricity (% of population),People using safely managed drinking water services (% of population),People using safely managed sanitation services (% of population),"Fertility rate, total (births per woman)","Life expectancy at birth, total (years)",Population ages 65 and above (% of total population),"Government expenditure on education, total (% of government expenditure)","School enrollment, primary (% gross)","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Hospital beds (per 1,000 people)","Mortality rate, under-5 (per 1,000 live births)",Prevalence of overweight (% of adults),Prevalence of undernourishment (% of population),Gini index,Income share held by lowest 20%,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),Poverty headcount ratio at national poverty lines (% of population),Prosperity gap (average shortfall from a prosperity standard of $28/day),Score
Luxembourg,2013,100.0,100.0,99.18432197133016,92.16611301654656,27.179627628516783,84.95522089358076,47.157755581668624,49.25003351655718,37.35340561150801,44.34493346980551,83.75459712470746,37.14285714285715,96.27886674842978,48.25636192271443,100.0,57.28155339805824,53.22580645161291,96.80775843532312,93.88688824325432,53.52112676056337,95.92162618304302,75.95335818316295
Luxembourg,2014,100.0,100.0,99.03813782064536,92.53538790720252,24.18899635356462,88.02364393998948,47.71931212148603,49.216248826920506,36.334707003793625,46.04230638007508,83.75794048813106,35.83333333333333,96.27886674842978,48.35061262959471,100.0,61.165048543689295,58.06451612903227,93.89347021557242,93.88688824325432,53.52112676056339,92.1065622623831,76.28460565956985
Luxembourg,2015,100.0,100.0,98.90110863697308,92.90432566314396,22.36577166379976,88.47679563144618,48.11646931212148,48.45153505831882,36.566273180689,49.12714659388149,81.24373119358074,34.64285714285715,96.27886674842978,48.44486333647501,100.0,52.912621359223294,51.61290322580646,91.21258493228656,86.30451605532312,55.47337710208999,88.52286057045063,74.49764595265185
Luxembourg,2016,100.0,100.0,98.77234845576376,93.27315104084724,18.65193015087985,91.28362006732948,48.381994034167946,48.11636948652635,36.5838452502455,47.18241783236667,81.66833834837847,32.85714285714286,97.4836239955098,48.47628023876845,100.0,58.73786407766988,53.22580645161291,96.80775843532312,89.04887173759423,55.80320148992608,95.92162618304302,75.93175252394536
Luxembourg,2017,100.0,100.0,98.65097131246787,93.64175166207414,17.393406665882765,87.0644490347297,48.74581939799332,47.444965813111686,34.96047487916195,45.70965540771067,85.49983283182883,31.07142857142858,97.4836239955098,48.53911404335531,100.0,45.14563106796115,40.322580645161295,91.21258493228656,82.7127908824038,53.31316648287338,88.52286057045063,72.70191261072492
Luxembourg,2018,100.0,100.0,98.53697720708536,94.0110265527301,16.76019003917031,88.49394963869372,49.14580131971435,47.77208741118113,36.42304877813936,48.26566587057886,85.27917084587095,29.28571428571429,97.4836239955098,48.6019478479422,100.0,40.776699029126206,37.096774193548384,91.21258493228656,86.30451605532312,53.28347949681295,92.1065622623831,72.95598831778007
Luxembourg,2019,100.0,100.0,98.56030760689166,94.3801890651479,14.20043478893774,90.9519759272098,49.66837657055048,48.19198283952274,38.81020239172716,50.85295121119072,85.26914075560013,26.309523809523814,97.4836239955098,48.69619855482247,100.0,46.6019417475728,46.7741935483871,96.80775843532312,93.88688824325432,53.89244954148669,95.92162618304302,75.22620592092906
Luxembourg,2020,100.0,100.0,98.58275204214826,94.74901444285116,15.485735689246551,87.41324718209694,50.31862966645575,45.37337444697681,39.55569142483006,51.41021266916863,81.34403209628887,25.476190476190485,97.4836239955098,48.790449261702776,100.0,50.48543689320388,45.161290322580655,100.0,100.0,53.8829755118135,100.0,75.85379105041646
Latvia,2012,100.0,100.0,83.09874960869897,72.11817246013945,20.52026669142535,27.617951668584624,73.42662478532043,67.2856951333959,45.34364228080648,58.162743091095166,53.657639585422935,45.0,64.3234552505291,39.522463085139805,100.0,41.74757281553394,35.48387096774195,70.67776288226575,39.35708833082247,37.32394366197183,49.31356675613796,56.686187280051534
Latvia,2013,100.0,100.0,83.92712646257982,73.40434139609732,25.39236482586577,29.08247503734572,74.8627180692398,68.34320954551549,43.749157503514425,56.88331627430912,64.28953527248412,44.04761904761905,67.84045420495279,37.98303487276155,100.0,40.29126213592232,35.48387096774195,69.31050423341934,44.12881718727767,30.985915492957744,49.31356675613796,57.58913686792103
Latvia,2014,100.0,100.0,84.75579863797716,74.69938821287136,32.98888014608005,30.093846714650223,76.62422037422036,69.65705858694196,42.46495214619961,58.15421357898328,67.70310932798395,42.3809523809524,71.00975974784198,36.47502356267674,100.0,42.23300970873783,37.096774193548384,75.15015463097846,47.79125589847971,26.408450704225345,56.9516564769202,59.348360622509446
Latvia,2015,100.0,100.0,85.58535677792415,76.18446663040595,35.81180241521216,32.639072540008215,78.2218882762361,69.80935782276445,41.358874617265855,61.58876378937791,70.95620193915079,42.85714285714286,73.72597749005729,34.935595350298456,100.0,46.6019417475728,45.161290322580655,76.78429266669332,55.68071777682116,28.873239436619716,59.02600875181885,61.94021877307942
Latvia,2016,100.0,100.0,86.4190494191026,77.68494086657105,38.03275338600403,33.35382284199011,79.64046822742475,67.58010457165841,40.8899651447168,63.14966450585692,71.72517552657973,43.21428571428572,76.62648231110002,33.3961671379202,100.0,46.11650485436894,43.548387096774206,76.78429266669332,56.38683523785648,27.81690140845069,63.40675138139151,62.57805640217419
Latvia,2017,100.0,100.0,87.25628591847945,79.2008109213667,35.25142350056112,33.70262098935734,80.97035162252553,68.30567100147474,41.297492730458885,65.38723984988061,74.82781678368438,41.42857142857143,78.15400376233242,31.85673892554192,100.0,39.80582524271841,38.70967741935485,76.78429266669332,56.74808422572514,23.59154929577464,63.40675138139151,62.15700826355996
