Economy,Year,Access to clean fuels and technologies for cooking  (% of population),Access to electricity (% of population),People using safely managed drinking water services (% of population),People using safely managed sanitation services (% of population),"Fertility rate, total (births per woman)","Life expectancy at birth, total (years)",Population ages 65 and above (% of total population),"Government expenditure on education, total (% of government expenditure)","School enrollment, primary (% gross)","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Hospital beds (per 1,000 people)","Mortality rate, under-5 (per 1,000 live births)",Prevalence of overweight (% of adults),Prevalence of undernourishment (% of population),Gini index,Income share held by lowest 20%,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),Poverty headcount ratio at national poverty lines (% of population),Prosperity gap (average shortfall from a prosperity standard of $28/day)
Norway,2012,0.41393836699036907,0.2498612267447957,0.7788484302964117,0.08023164599188869,0.9230694482239911,0.8425584897946123,-0.27788436411137657,-0.13026492849595986,-0.16589697545865506,1.069888331721415,1.0574271503039299,-0.49283809641852366,0.9287085680058665,-0.007087678049137843,0.33643414466842625,1.3576462648648926,1.1175258841699867,0.7207460690371507,1.0010633045279425,0.602387389352198,1.2571275933270338
Norway,2013,0.41393836699036907,0.2498612267447957,0.7733046528510088,0.0833280749085223,0.6700515133077611,0.9214694798444831,-0.21239949721407475,-0.21936811018289112,-0.16303358739153365,1.0761079746535873,1.0078199258145386,-0.5529929970882551,0.9813655524406416,-0.05602640743604828,0.33643414466842625,1.1990016694784014,1.0491979547614843,0.5837490454169537,1.0010633045279425,0.602387389352198,1.2571275933270338
Norway,2014,0.41393836699036907,0.2498612267447957,0.7677608754056058,0.08645910079629139,0.5596589888384763,1.013216657609133,-0.14740954378974355,-0.20849148374760532,-0.19398254777659266,1.0258957353719174,0.9975968153623329,-0.5639302517554791,1.0353904026200464,-0.10327759443030696,0.33643414466842625,1.1083476149718345,0.912542095944478,0.7207460690371507,1.0010633045279425,0.602387389352198,1.2571275933270338
Norway,2015,0.41393836699036907,0.2498612267447957,0.7622170979602028,0.0896160744124118,0.4480555532956532,1.0671128638131977,-0.08322708076868149,-0.20218226627802705,-0.21798626902012297,1.0780800565589084,0.8618473159150125,-0.6076792704243745,1.0908560840241972,-0.15052878142456563,0.33643414466842625,0.9497030195853434,0.8442141665359755,0.5837490454169537,1.0010633045279425,0.602387389352198,1.2571275933270338
Norway,2016,0.41393836699036907,0.2498612267447957,0.7566733205147984,0.09280332037827622,0.41058069990898516,1.0940478150835546,-0.020060492771085396,-0.251339972942841,-0.24802138214971614,1.0538082792626335,0.7974919976585051,-0.6514282890932699,1.147841560738753,-0.19777996841882434,0.33643414466842625,0.7230678833189275,0.5709024489019643,0.45772400026587107,0.8436922491213801,0.602387389352198,1.096746659283255
Norway,2017,0.41393836699036907,0.2498612267447957,0.7511295430693954,0.09602516331527614,0.06694690981328116,1.1473127333672182,0.048680383816813985,-0.218245611369285,-0.2388016787279202,0.95732796450994,0.883969456565687,-0.6951773077621655,1.2064324715660155,-0.24334361302043006,0.33643414466842625,1.0630205877185515,0.7758862371274731,0.45772400026587107,0.8928308799608453,0.602387389352198,1.096746659283255
Norway,2018,0.41393836699036907,0.2498612267447957,0.7455857656239924,0.09927727860201946,-0.16876427742787803,1.1864262807686021,0.12791863564720102,-0.21932940332724962,-0.2585204717291613,1.0337840629932056,0.9448053433550416,-0.7334576990974492,1.2064324715660155,-0.28721971522938405,0.33643414466842625,0.9270395059587015,0.7758862371274731,0.45772400026587107,0.9451418795198462,0.602387389352198,1.096746659283255
Norway,2019,0.41393836699036907,0.2498612267447957,0.74005219771348,0.10255966623850678,-0.2886997863629624,1.239033607468517,0.20853743558640103,-0.2874534692564413,-0.27754880235961027,1.10113824499037,0.9644136043863213,-0.7662694630991206,1.2667219041616204,-0.3310958174383392,0.33643414466842625,0.9043759923320605,0.7075583077189705,0.5837490454169537,0.9451418795198462,0.602387389352198,1.096746659283255
Norway,2020,0.41393836699036907,0.2498612267447957,0.7345084202680771,0.1058723262247375,-0.49178858889307814,1.3051347134669598,0.29535567797649953,-0.578490316825527,-0.31714885009639693,1.1099367642602707,0.8403955431628434,-0.8045498544344043,1.2667219041616204,-0.37665946203994494,0.33643414466842625,0.7457313969455693,0.5709024489019643,0.45772400026587107,0.9451418795198462,0.602387389352198,0.9460919293391815
Poland,2012,0.41393836699036907,0.2498612267447957,0.09389073450985312,0.8098644687554777,-1.1265730801910971,-0.3950025671575218,-0.6693609212313242,0.33576561342873734,0.047394973966723264,-0.8220967085232409,-0.09929265856694161,0.9071305009861325,-0.0488236814225809,-0.4002850555370743,0.33643414466842625,-0.2967902298799447,-0.3173606334085711,0.3410430332148802,-0.1919016524173674,0.7356581737908434,-0.1097606422187963
Poland,2013,0.41393836699036907,0.2498612267447957,0.06276186262949479,0.8404741389676729,-1.3027577629944522,-0.32827017323868174,-0.56355363032566,0.2790987767694553,-0.07593379008738829,-0.7456406100399731,-0.14320175591903764,0.8961932463189083,0.017208524604599245,-0.49816251431089514,0.33643414466842625,-0.3194537435065866,-0.38568856281707364,0.13080152248002822,-0.16488117789798049,0.7356581737908434,-0.01229552373586766
Poland,2014,0.41393836699036907,0.2498612267447957,0.030581408655442562,0.8712654432783291,-1.170334056006224,-0.16981690521853893,-0.44581631991364573,0.29926504855872144,-0.17946253027310363,-0.612600930734765,0.07835483453695931,0.9071305009861325,0.08540610281044772,-0.597727515477369,0.33643414466842625,-0.25146320262666083,-0.3173606334085711,0.13080152248002822,-0.1369287812602404,0.7356581737908434,-0.01229552373586766
Poland,2015,0.41393836699036907,0.2498612267447957,-0.002650627412306476,0.9022470309302317,-1.170334056006224,-0.20958804420367494,-0.31695648039854957,0.4019543365758494,-0.3068380515917702,-0.5629954858855027,0.3290724285779364,0.9125991283197442,0.12036221623575952,-0.6956049742511898,0.33643414466842625,-0.024828066360245628,-0.24903270400006805,0.23241565169614412,-0.014350156105936594,0.7356581737908434,0.08914884615808667
Poland,2016,0.41393836699036907,0.2498612267447957,-0.03664837859682322,0.9334059280592039,-0.867887674818777,-0.10437339080384471,-0.1774950733308669,0.17606112705155252,-0.4342135729104339,-0.4577166518629084,0.5526401227294493,0.9125991283197442,0.1559158989195257,-0.7951699754176637,0.33643414466842625,0.11115301539960432,0.16093487245094815,0.3410430332148802,0.21333223114512448,0.7356581737908434,0.19491127443684592
