Economy,Year,Access to clean fuels and technologies for cooking  (% of population),People using safely managed drinking water services (% of population),People using safely managed sanitation services (% of population),"Fertility rate, total (births per woman)","Life expectancy at birth, total (years)","Government expenditure on education, total (% of government expenditure)","School enrollment, primary (% gross)","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","Share of youth not in education, employment or training, total (% of youth population)  (modeled ILO estimate)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","Hospital beds (per 1,000 people)","Mortality rate, under-5 (per 1,000 live births)",Prevalence of overweight (% of adults),Prevalence of undernourishment (% of population),Gini index,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),Poverty headcount ratio at national poverty lines (% of population)
Germany,2015,100.0,99.8968,96.5483,1.5,80.6415,10.6988,102.7025,77.575,6.239,4.612,89.291,8.09,3.9,54.51,2.5,31.7,0.0,0.2,
Germany,2016,100.0,99.8998,96.578,1.6,80.9902,10.6137,101.4061,77.781,6.701,4.104,89.4732,8.06,3.9,54.43,2.5,31.4,0.0,0.2,
Germany,2017,100.0,99.9029,96.6086,1.57,80.9927,10.7218,101.7387,78.178,6.266,3.781,89.7129,8.01,3.8,54.34,2.5,31.3,0.2,0.5,
Germany,2018,100.0,99.9061,96.6401,1.57,80.8927,10.929,102.6454,78.511,6.011,3.384,90.0808,7.98,3.8,54.24,2.5,31.9,0.0,0.5,
Germany,2019,100.0,99.9093,96.6726,1.54,81.2927,11.0342,102.5475,79.208,5.607,3.163,90.4245,7.91,3.7,54.13,2.5,31.8,0.2,0.5,16.1
Germany,2020,100.0,99.9126,96.706,1.53,81.0415,10.7882,101.9967,78.535,7.295,3.881,91.1248,7.8,3.7,54.02,2.5,32.4,0.2,0.5,16.0
Greece,2012,100.0,98.9829,85.3685,1.34,80.6341,,99.5018,66.846,21.135,24.731,63.3564,4.48,4.0,59.44,2.5,36.3,2.1,9.0,23.1
Greece,2013,100.0,98.801,85.9816,1.29,81.2854,,98.7325,66.842,21.244,27.686,63.011,4.26,4.1,59.64,2.5,36.1,1.5,10.3,22.1
Greece,2014,100.0,98.6186,86.5922,1.3,81.3854,,97.9593,66.725,19.869,26.708,64.0329,4.25,4.2,59.84,2.5,35.8,2.0,9.5,21.4
Greece,2015,100.0,98.4359,87.2005,1.33,81.0366,7.1014,99.8291,66.982,17.896,24.981,65.0437,4.25,4.3,60.04,2.5,36.0,2.0,9.2,21.2
Greece,2016,100.0,98.2515,87.8065,1.38,81.3878,,99.3707,67.179,16.239,23.514,65.9096,4.21,4.3,60.24,2.5,35.0,1.4,8.0,20.2
Greece,2017,100.0,98.0558,88.4421,1.35,81.2878,7.1448,98.8267,67.181,15.885,21.413,65.9303,4.23,4.3,60.44,2.5,34.4,1.1,6.9,18.5
Greece,2018,100.0,97.8602,89.0849,1.35,81.7878,7.3631,97.8011,67.027,14.688,19.179,66.5163,4.24,4.2,60.63,2.5,32.9,0.2,5.1,17.9
Greece,2019,100.0,97.6645,89.7249,1.34,81.639,7.4594,97.6438,67.176,12.977,17.045,68.1028,4.24,4.1,60.82,2.5,33.1,1.0,4.8,17.7
Greece,2020,100.0,97.4688,90.3625,1.39,81.2878,,97.2832,66.197,13.53,15.899,68.1425,,4.0,61.02,2.5,33.6,1.1,5.1,19.6
Hungary,2012,100.0,86.3654,75.0569,1.34,75.0634,8.4341,101.07,65.547,14.785,11.003,88.2658,7.0,5.7,57.49,2.5,30.8,0.5,11.6,15.0
Hungary,2013,100.0,87.7143,77.1328,1.35,75.5659,8.3675,100.7059,66.606,15.466,10.177,88.7242,7.04,5.6,57.93,2.5,31.5,0.5,10.6,15.0
Hungary,2014,100.0,89.0651,79.2487,1.44,75.7634,9.1947,101.3144,68.705,13.619,7.725,88.6747,6.98,5.3,58.38,2.5,30.9,1.0,8.3,14.9
Hungary,2015,100.0,90.4176,81.4042,1.45,75.5683,8.9226,100.8277,70.461,11.581,6.813,88.9919,6.99,5.1,58.85,2.5,30.4,1.0,6.4,14.5
Hungary,2016,100.0,91.7722,83.5998,1.53,76.0634,9.8624,99.0286,72.071,11.047,5.115,89.183,7.0,4.7,59.32,2.5,30.3,1.6,4.3,13.4
Hungary,2017,100.0,93.1285,85.8349,1.54,75.8171,9.9477,98.4313,73.058,11.039,4.156,89.665,7.02,4.5,59.8,2.5,30.6,0.9,4.9,12.8
Hungary,2018,100.0,94.4863,87.8967,1.55,76.0659,10.0293,96.7522,74.011,10.73,3.708,89.5834,6.95,4.3,60.28,2.5,,,,12.3
Hungary,2019,100.0,95.8452,88.5378,1.55,76.3195,9.1641,96.6209,74.648,11.002,3.419,89.1721,6.91,4.1,60.76,2.5,,,,12.3
