Economy,Year,Access to clean fuels and technologies for cooking  (% of population),Access to electricity (% of population),People using safely managed drinking water services (% of population),People using safely managed sanitation services (% of population),"Fertility rate, total (births per woman)","Life expectancy at birth, total (years)",Population ages 65 and above (% of total population),"Government expenditure on education, total (% of government expenditure)","School enrollment, primary (% gross)","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Hospital beds (per 1,000 people)","Mortality rate, under-5 (per 1,000 live births)",Prevalence of overweight (% of adults),Prevalence of undernourishment (% of population),Gini index,Income share held by lowest 20%,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),Poverty headcount ratio at national poverty lines (% of population),Prosperity gap (average shortfall from a prosperity standard of $28/day)
Belgium,2016,100.0,100.0,99.6896,88.1389,1.68,81.439,18.3567,11.6954,102.0559,67.62,7.83,5.77,4.1,50.97,2.5,27.6,8.6,0.1,0.3,,0.6
Belgium,2017,100.0,100.0,99.6979,89.8094,1.65,81.4927,18.5849,11.9769,102.7529,67.987,7.09,5.66,4.0,50.98,2.5,27.4,8.7,0.2,0.4,,0.7
Belgium,2018,100.0,100.0,99.7062,91.4917,1.62,81.5951,18.8086,11.8788,102.5004,68.585,5.941,5.61,4.0,51.0,2.5,27.2,8.9,0.1,0.2,14.8,0.6
Belgium,2019,100.0,100.0,99.7145,93.1857,1.6,81.9951,19.0298,11.817,102.1486,69.018,5.364,5.56,3.9,51.01,2.5,27.2,9.0,0.1,0.2,14.1,0.6
Belgium,2020,100.0,100.0,99.7228,94.0583,1.55,80.6951,19.224,11.1488,102.0643,68.558,5.545,5.52,3.9,51.02,2.5,26.0,9.4,0.1,0.3,12.7,0.5
Bulgaria,2012,,94.7,95.9229,62.5707,1.5,74.3146,18.9493,9.6604,100.3631,67.315,12.27,6.45,9.9,49.95,4.6,36.0,6.2,3.0,16.8,,2.8
Bulgaria,2013,,95.3,96.4462,63.5951,1.54,74.861,19.3547,9.7596,98.7912,68.537,12.941,6.66,9.3,50.18,4.1,36.6,5.7,3.3,15.2,,2.6
Bulgaria,2014,,95.9,96.9234,64.741,1.62,74.4659,19.7757,9.4276,99.2496,68.856,11.424,6.99,8.7,50.4,4.1,37.4,6.0,2.7,13.2,,2.5
Bulgaria,2015,,96.6,96.7621,65.9598,1.64,74.6146,20.2098,9.6901,99.1272,69.518,9.143,7.11,8.2,50.62,4.0,38.6,5.3,4.6,15.6,22.9,3.0
Bulgaria,2016,,97.3,96.6016,67.2013,1.67,74.8122,20.5761,9.7639,98.0772,68.73,7.575,7.15,7.7,50.83,4.1,40.6,5.4,3.1,11.6,23.4,2.3
Bulgaria,2017,,98.1,96.4418,68.4654,1.71,74.8146,20.87,10.1444,97.5943,71.457,6.164,7.34,7.3,51.03,3.4,40.4,5.7,2.0,11.7,22.0,2.1
Bulgaria,2018,,98.7,96.2828,69.4519,1.73,74.9634,21.1709,9.5412,96.7923,71.511,5.211,7.47,7.0,51.22,3.0,41.3,5.7,1.5,9.1,22.6,1.8
