Economy,Year,GDP (annual % growth),Individuals using the Internet (% of population),Proportion of seats held by women in national parliaments (%),Ratio of female to male labor force participation rate (%) (modeled ILO estimate),"School enrollment, primary and secondary (gross), gender parity index (GPI)",Government Effectiveness: Estimate,Regulatory Quality: Estimate,Economic and Social Rights Performance Score,Voice and Accountability: Estimate,"Patent applications, residents",Research and development expenditure (% of GDP),Scientific and technical journal articles,Control of Corruption: Estimate,Net migration,Political Stability and Absence of Violence/Terrorism: Estimate,Rule of Law: Estimate
Bulgaria,2012,0.7488,51.9,22.9167,81.5973,0.9696,-0.0284,0.5747,3.53,0.4009,245.0,0.6004,2648.91,-0.2815,-26334.0,0.3798,-0.1151
Bulgaria,2013,-0.5428,53.1,24.5833,81.2448,0.9669,-0.0132,0.5491,3.52,0.3373,282.0,0.6342,2680.44,-0.3279,-1324.0,0.1707,-0.1473
Bulgaria,2014,0.9494,55.5,20.0,80.6978,0.9746,-0.1124,0.5853,3.51,0.3665,218.0,0.7901,2661.88,-0.3032,-2180.0,0.0785,-0.082
Bulgaria,2015,3.3976,56.7,20.4167,81.0584,0.9755,-0.0126,0.5783,3.5,0.4326,280.0,0.9495,2554.77,-0.3464,-4227.0,0.0104,-0.1595
Bulgaria,2016,3.0266,59.8,20.4167,79.5389,0.9762,0.0888,0.7013,3.47,0.4024,230.0,0.7701,2544.29,-0.2609,-9482.0,0.0683,-0.1404
Bulgaria,2017,2.7459,63.4,23.75,80.4385,0.9805,0.098,0.6578,3.45,0.4301,202.0,0.7404,2963.85,-0.1963,-6109.0,0.3214,-0.125
Bulgaria,2018,2.5495,64.8,23.75,79.3696,0.9768,0.1118,0.6058,3.43,0.3652,180.0,0.7541,3375.36,-0.1882,-3873.0,0.4444,-0.1058
Bulgaria,2019,3.7889,67.9,25.8333,79.2161,0.9855,0.1737,0.5308,3.41,0.3547,186.0,0.8327,4302.46,-0.1812,-2156.0,0.5613,-0.0374
Bulgaria,2020,-3.2157,70.2,26.6667,78.6496,0.9837,-0.214,0.461,3.42,0.2594,239.0,0.8497,4559.2,-0.3223,30167.0,0.4016,-0.1277
Bosnia and Herzegovina,2012,-0.8218,45.1,21.4286,62.7777,,-0.4547,-0.0617,4.58,-0.1003,2.0,0.2653,550.32,-0.3094,-66378.0,-0.5381,-0.1972
Bosnia and Herzegovina,2013,2.3499,48.5,21.4286,62.7298,,-0.4333,-0.0749,4.57,-0.1165,7.0,0.3213,490.13,-0.2447,-37002.0,-0.4049,-0.1394
Bosnia and Herzegovina,2014,1.1539,49.9,21.4286,62.6373,,-0.4921,-0.0417,4.57,-0.071,41.0,0.2573,491.61,-0.3001,-35683.0,-0.0192,-0.1322
Bosnia and Herzegovina,2015,4.3148,52.6,21.4286,62.7543,,-0.6248,-0.185,4.56,-0.0981,,0.216,584.17,-0.4179,-33948.0,-0.4042,-0.2646
Bosnia and Herzegovina,2016,3.2423,60.3,21.4286,62.8232,,-0.4521,-0.139,4.56,-0.1311,60.0,0.2134,584.92,-0.4868,-32173.0,-0.4027,-0.193
Bosnia and Herzegovina,2017,3.2441,64.9,21.4286,62.9259,,-0.519,-0.0578,4.55,-0.2057,87.0,0.1978,748.93,-0.5542,-30650.0,-0.3515,-0.2018
Bosnia and Herzegovina,2018,3.8275,70.1,21.4286,63.0637,,-0.6709,-0.1414,4.54,-0.2596,84.0,0.192,761.17,-0.6062,-29147.0,-0.4009,-0.2256
Bosnia and Herzegovina,2019,2.8873,69.9,21.4286,63.1508,,-0.7064,-0.1287,4.54,-0.2437,45.0,0.19,829.49,-0.6473,-27841.0,-0.4248,-0.2258
Bosnia and Herzegovina,2020,-3.0151,73.2,26.1905,62.8144,,-1.0757,-0.1824,4.54,-0.3234,50.0,0.2033,1004.72,-0.6431,-26840.0,-0.4475,-0.3161
Belarus,2012,1.7079,46.9,26.6055,82.7802,0.9766,-0.9722,-1.1741,4.61,-1.5672,1681.0,0.646,1043.1,-0.4585,10903.0,0.0686,-0.923
Belarus,2013,0.9987,54.2,26.6055,82.7341,0.9844,-0.9621,-1.1594,4.67,-1.5445,1489.0,0.6519,1107.04,-0.4053,10550.0,0.006,-0.8822
Belarus,2014,1.6511,59.0,26.6055,82.6979,0.9888,-0.4904,-1.0995,4.72,-1.443,652.0,0.5055,1059.93,-0.235,14979.0,0.1798,-0.8152
Belarus,2015,-3.8296,62.2,27.2727,82.6566,0.9911,-0.4892,-1.1664,4.74,-1.4652,543.0,0.5,988.28,-0.3156,18088.0,0.1109,-0.8792
Belarus,2016,-2.5264,71.1,34.5455,82.6036,0.991,-0.5139,-1.0908,4.75,-1.3393,455.0,0.5006,1008.15,-0.2239,8272.0,0.1357,-0.7673
Belarus,2017,2.5322,74.4,34.5455,81.9174,0.9886,-0.3577,-0.8594,4.75,-1.3561,434.0,0.5841,1080.38,-0.2412,3337.0,-0.0572,-0.8817
Belarus,2018,3.1492,79.1,34.5455,80.6891,0.9906,-0.2979,-0.8152,4.75,-1.3633,453.0,0.6044,1228.81,-0.1555,8615.0,0.3536,-0.893
Belarus,2019,1.4465,82.8,40.0,81.6307,0.9924,-0.1745,-0.6731,4.75,-1.4074,298.0,0.5773,1502.43,0.0069,-33954.0,0.345,-0.8594
Belarus,2020,-0.6727,85.1,40.0,81.1024,0.9911,-0.8297,-0.7999,4.75,-1.453,317.0,0.539,1521.33,-0.1342,-33954.0,-0.8876,-1.0852
