Economy,Year,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Carbon dioxide (CO2) net fluxes from LULUCF - Total excluding non-tropical fires (Mt CO2e),Total greenhouse gas emissions per capita excluding LULUCF (t CO2e/capita),Electricity production from coal sources (% of total),"Energy imports, net (% of energy use)",Energy intensity level of primary energy (MJ/$2021 PPP GDP),Energy use (kg of oil equivalent per capita),Fossil fuel energy consumption (% of total),Renewable electricity output (% of total electricity output),Renewable energy consumption (% of total final energy consumption),Cooling Degree Days,Heating Degree Days,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Standardised Precipitation-Evapotranspiration Index,"Agriculture, forestry, and fishing, value added (% of GDP)",Food production index (2014-2016 = 100),"Adjusted savings, natural resources depletion (% of GNI)","Adjusted savings, net forest depletion (% of GNI)","Annual freshwater withdrawals, total (% of internal resources)",Forest area (% of land area),Terrestrial and marine protected areas (% of total territorial area),Tree Cover Loss
Bosnia and Herzegovina,2020,-1.4127224148799338,-0.1081746360130009,-0.27576051399246765,-1.3960790767578688,1.0079958405701137,-1.310425141766926,0.45960544391348374,0.7198893645686212,-0.18820406173206278,0.9627094674204539,-0.20586361064280548,0.3429649888312096,1.3111577467592954,-0.3418788699502913,0.9761064506555891,2.251696842329415,0.7806236755547702,0.5814006362194206,1.5174380530097873,0.5993884240092735,-1.4754197605970198,0.8802137979277475
Bulgaria,2012,-1.1074906994387386,-0.024925595870745932,-0.08133629069123066,-1.0484017747908723,0.623238666360046,-1.0912047047709827,0.17077307224661775,-1.0959549664103423,-1.2435667398228654,-0.4630264366939841,-1.4002581725824053,0.3259726075096594,-1.396798108362718,-0.12298085032611374,0.65730705368112,-2.060686750692033,-1.4228051845855918,0.5814006362194206,-0.8351421571505256,0.14963586273258095,1.2495412815273323,0.06573495492418033
Bulgaria,2013,-0.9533091277414871,-0.07924765257202822,0.09194971660165786,-0.9697419695141754,0.5643028860894769,-0.9321763878363688,0.28303322118019075,-1.0523065401246061,-0.8768208778531879,-0.22615422684155892,-0.8892417626974808,0.5958541597176245,-1.3486297906786213,-0.16859081962870306,0.6788846890300331,0.481352729798354,-1.073586049851408,0.5814006362194206,-0.7966051498187388,0.1599262761144986,1.2495412815273323,0.5648760680721138
Bulgaria,2014,-1.002995211453366,-0.011423745948423441,-0.08444760143643984,-0.9816296445477705,0.6791141118242724,-1.0180537919110402,0.16564565713073456,-1.079476237324555,-0.9311399674653189,-0.32259916037992226,-0.6017937921551784,0.5946509012617878,-1.3301559779143493,-1.8862216042416733,0.6896561996070552,0.20929056614473515,-0.5998913084568581,0.5814006362194206,-0.7818137235201648,0.17020789190978572,1.056787508509508,0.273787887048702
Bulgaria,2015,-0.8824611455317452,-0.03406470006520591,-0.2050100415723223,-0.9989277824279379,0.6308694017737688,-1.0346363407600097,0.06276480123118705,-0.3333824362465622,-0.7894537696768302,-0.25195194473099713,-0.9458158197126627,0.5538519420999725,-1.3803730508346128,0.8281577605935292,0.55831720081038,-0.24249863513733852,-0.29244268645241683,0.5814006362194206,-0.8220059610747558,0.18047497780367958,1.129800328637992,0.22961434842927958
Bulgaria,2016,-0.796563091247613,0.06275214698837818,-0.1395282825360714,-0.9397802877023961,0.5546593409408825,-0.909900275802542,0.08523549245197459,0.7198893645686212,-0.9068576571661849,-0.269356740069115,-1.0089950636457434,0.4909924866544138,-1.3918864004441716,1.1673257175153708,0.5563072263537592,0.35554202768112925,-0.08971848503920932,0.5814006362194206,-0.831214372069877,0.1847481805994144,0.8690895149568034,0.2225069162026334
Bulgaria,2017,-0.8024283663343366,0.06122188690568373,-0.26481455218282324,-1.0008703491723974,0.5216576007408876,-0.9277478176676324,-0.0041276584028304315,0.7198893645686212,-1.068878975490404,-0.32259916037992226,-1.0161968275653726,0.35083763735292445,-1.3859120810459356,1.087606399137811,0.5529861910901694,0.9787968384706365,-0.5789819912748182,0.5814006362194206,-0.8264364620866379,0.1916831875350856,0.8690895149568034,0.2024949035323707
Bulgaria,2018,-0.7680659726024014,0.0648046093590232,-0.16721208621755354,-0.8785936428448055,0.6226369627471298,-0.8643265246734375,-0.026109248725696702,0.7198893645686212,-0.6725491553632259,-0.1103812595980632,-0.8332743928095104,0.5936034494667665,-1.340028474046253,1.8109664809570651,0.35308714693110976,0.8372372015784623,-0.4915808503281723,0.5814006362194206,-0.7897195160144684,0.198617414123452,0.8690895149568034,0.07779410633920004
Bulgaria,2019,-0.5167849125580516,0.05042948631164688,-0.1357032362884388,-0.8582850936395109,0.5548766436109658,-0.7440414916148517,-0.03076495991051755,0.7198893645686212,-0.8477884221805413,-0.13457796203704908,-0.9403696887415637,0.8170524850013146,-1.3394282366419537,-1.191180549351321,0.28082598383948615,1.1023621583922667,-0.3496665668766474,0.5814006362194206,-0.7892368430460474,0.20553931169246864,1.129800328637992,0.5121973773706509
Bulgaria,2020,-0.46850074807030195,0.05264430150370626,0.07361946478608879,-0.7259482765848551,0.5689213579271556,-0.7238995880419156,0.04335977287687679,0.7198893645686212,-0.7403632295402122,0.006024625130863173,-0.9746465362231037,0.6447032699808317,-1.2448434873720322,-0.30720972497713195,0.3638671730164943,-1.2024679801028055,-0.5318275377306811,0.5814006362194206,-0.7134295081762748,0.21246047314206906,1.1464042292329122,0.43941706758423577
