Economy,Year,Access to clean fuels and technologies for cooking  (% of population),People using safely managed drinking water services (% of population),People using safely managed sanitation services (% of population),"Fertility rate, total (births per woman)","Life expectancy at birth, total (years)","Government expenditure on education, total (% of government expenditure)","School enrollment, primary (% gross)","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","Share of youth not in education, employment or training, total (% of youth population)  (modeled ILO estimate)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","Hospital beds (per 1,000 people)","Mortality rate, under-5 (per 1,000 live births)",Prevalence of overweight (% of adults),Prevalence of undernourishment (% of population),Gini index,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),Poverty headcount ratio at national poverty lines (% of population)
Lithuania,2015,0.48858276145472124,-0.6407009363347486,0.5534987949777026,0.3736889862394471,-1.2973731510323165,0.39520137085114093,0.3356976797235885,0.3278102495863686,0.5525722987518316,-0.18455007695662334,0.7256374443616704,1.170041122142452,-0.3705379393348669,-0.3980213370516788,0.3861537021392478,-1.4339856234210124,-0.6189715378621087,-0.6539688018124028,-0.782042672440777
Lithuania,2016,0.48858276145472124,-0.3878769887488647,0.6128713166490107,0.3736889862394471,-1.2267311012642683,0.2993972279819597,0.8528525997321202,0.5270210146483504,0.506698517191676,0.0568238570339171,0.7142159414732486,1.0276685061051833,-0.3255955622166425,-0.4601588070958902,0.3861537021392478,-1.6542897738384985,-0.9686444319457582,-0.5272146544677865,-0.9157363859130476
Lithuania,2017,0.48858276145472124,-0.12484794806856679,0.6732044038766327,0.04077138157890838,-1.0531938213533314,0.20180824678170553,1.2513947857376706,0.6021581887641309,0.5630196459229588,0.2276255605848569,0.7733493305651715,0.9525627659664754,-0.18026547134552748,-0.5209652874181011,0.3861537021392478,-1.4117709980329354,-0.7797509776131275,-0.4517909551298343,-0.9157363859130476
Lithuania,2018,0.48858276145472124,-0.04300558540415233,0.7344683318639385,-0.18564091079702916,-1.0082148960365,0.19304843687637202,1.1883606016897643,0.8059675887622488,0.8251387135533094,0.45234372398178735,0.8356936510400345,0.8917285449806777,0.0420236707809289,-0.5847913175320996,0.3861537021392478,-1.0516080701313242,-0.6189715378621087,-0.18973803740957562,-0.5962651954729703
Lithuania,2019,0.48858276145472124,0.04193980402360518,0.796623201208032,-0.7670468972108209,-0.8674351117506469,0.19565221009585868,0.9425930476671203,0.9067509925693155,0.6772992399338678,0.4245841634347907,0.8373950735422669,0.8661794500858512,0.2347704307701587,-0.6494874854719128,0.3861537021392478,-0.9601345320446713,-0.16285956807288926,0.07780532717895813,-0.6404227174574282
Lithuania,2020,0.48858276145472124,0.10830506865731902,0.8580222115426852,-1.1868812476683168,-1.1515520833390998,-0.20416907100590398,0.7105376137049797,0.9818335758943804,0.23020530330513833,-0.067357359473431,0.8184468507194702,0.7313483599196746,0.37818606900157575,-0.71278541993101,0.3861537021392478,-1.1198301294822228,-0.006713781585690784,0.24207092971581914,-0.5054753538009615
Luxembourg,2012,0.48858276145472124,1.072879573380795,0.684238915919462,0.04077138157890838,0.7043058717542711,-0.9271626542198922,-0.24261045762061878,-0.4212455099339947,1.492510158730605,0.7687765969964229,1.3639543414250876,0.29370207300278833,1.3520946413387127,0.5344927087977771,0.3861537021392478,-0.7288325524206527,1.3034072728278059,1.1350891838610362,-0.06846997460850307
Luxembourg,2013,0.48858276145472124,1.0642188604599263,0.708770284455429,-0.07199109390955219,0.8637453807000313,-0.86851669262792,-0.46011792675843644,-0.36817042967270147,1.6217365687203988,0.47897425384566267,1.319495610565159,0.29940449191429325,1.4821027292709184,0.5378247830286295,0.3861537021392478,-0.18182902779313764,0.9363573247842838,1.1350891838610362,-0.06846997460850307
Luxembourg,2014,0.48858276145472124,1.0560831301909483,0.7333985791280286,-0.3577696782163559,1.0381357007338499,-0.8110022784463747,-0.5531632288314255,-0.27477384792743154,1.296123605600498,0.47923736503910624,1.4265401542337621,0.23632873437116975,1.4821027292709184,0.5428164211995334,0.3861537021392478,0.01365821904339672,0.6357670797425969,1.1350891838610362,-0.06846997460850307
Luxembourg,2015,0.48858276145472124,1.0484407984625377,0.758131413466211,-0.5318702528146275,1.0644541145638975,-0.8950708210357319,-0.5319257356582645,-0.10615552163697485,1.4683358710847598,0.2918438094376232,0.9204155641023606,0.17830817055277023,1.4821027292709184,0.5478002983684396,0.3861537021392478,-0.39845788032652224,0.3854498849599905,0.7293164184276969,-0.06846997460850307
