Economy,Year,Access to clean fuels and technologies for cooking  (% of population),People using safely managed drinking water services (% of population),People using safely managed sanitation services (% of population),"Fertility rate, total (births per woman)","Life expectancy at birth, total (years)","Government expenditure on education, total (% of government expenditure)","School enrollment, primary (% gross)","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","Share of youth not in education, employment or training, total (% of youth population)  (modeled ILO estimate)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","Hospital beds (per 1,000 people)","Mortality rate, under-5 (per 1,000 live births)",Prevalence of overweight (% of adults),Prevalence of undernourishment (% of population),Gini index,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),Poverty headcount ratio at national poverty lines (% of population)
Belgium,2017,99.99999999999999,98.93988833728451,87.23368966518105,54.65116279069766,82.75879321559012,38.418398017682506,49.44587802576595,33.02500315696423,78.70272245569157,80.26078234704113,85.76036183622347,52.62390670553937,75.50675716909798,45.997938852627954,100.0,76.79558011049727,92.11594534233606,91.80194782814203,84.31818181818183
Belgium,2018,99.99999999999999,98.89913769256168,88.79667119786,51.16279069767443,83.49069752481967,37.235898714132816,48.83807698973598,34.91286778633665,78.90005481454412,84.10230692076229,85.6048853339509,51.89504373177843,75.50675716909798,45.92923394022671,100.0,77.90055248618785,95.87854184539307,95.55778613516378,84.31818181818183
Belgium,2019,99.99999999999999,98.85808959787744,90.369850717165,48.83720930232559,86.3496987327477,37.521809891060514,47.991247665081175,36.27983331228691,80.91357573542848,86.03142761618187,85.25425431732532,51.16618075801749,76.69763905654786,45.894881484026115,100.0,77.90055248618785,95.87854184539307,95.55778613516378,85.90909090909092
Belgium,2020,99.99999999999999,98.81704150319314,91.95334028888318,43.02325581395349,77.0579448069816,32.655455038634656,47.78832636869572,34.82762975123123,78.19477434679335,85.42627883650952,84.10870072391086,50.58309037900874,76.69763905654786,45.860529027825464,100.0,84.5303867403315,95.87854184539307,93.60756789405777,89.09090909090911
Bosnia and Herzegovina,2012,4.682274247491634,65.81794277657644,28.941213650061126,8.372093023255815,50.91166401017813,23.35087899359266,16.84487473280825,10.266447783811088,9.022473963091542,10.317619525242392,63.78385190054273,4.081632653061227,50.05463082984201,36.92889041566474,100.0,28.399141337701472,16.058780365492673,18.80090839411431,79.54545454545456
Bosnia and Herzegovina,2013,4.180602006688957,66.06363644475908,32.37726274832377,11.395348837209312,51.56923428800155,23.35087899359266,17.513094802518793,10.339057961863858,17.387173396674584,12.056168505516553,67.12668184535111,3.0612244897959187,50.05463082984201,35.86396427344556,100.0,23.917126171585107,22.14392823205982,19.92871950161209,79.54545454545456
Bosnia and Herzegovina,2014,3.177257525083604,66.30724796321141,35.8869390687109,9.534883720930239,51.283334167208636,23.35087899359266,21.695247356968167,10.253819926758439,15.695231134661057,11.965897693079242,71.1869515536581,4.227405247813415,50.05463082984201,34.79903813122638,100.0,23.861020319540998,22.15074890998868,19.923999230407627,79.54545454545456
Bosnia and Herzegovina,2015,2.508361204013383,66.516950186055,39.560903832986114,16.511627906976756,51.16897411889147,23.35087899359266,30.050405361166213,10.578987245864369,11.123698154577013,11.370779003677697,69.18176446246511,4.518950437317784,50.05463082984201,33.66540707660599,100.0,23.645548508796836,22.191835332030397,19.908211941895896,79.54545454545456
Bosnia and Herzegovina,2016,2.34113712374581,66.57406057865916,43.371925054884215,20.93023255813955,51.53349677290237,23.35087899359266,33.52437944116002,10.888369743654494,15.720811255253068,19.017051153460386,68.8801775122738,4.956268221574348,49.2940183602355,32.531776021985564,100.0,14.409391364686199,30.835203864772392,20.788472500444765,79.54545454545456
Bosnia and Herzegovina,2017,1.8394648829431333,66.85128394275876,47.32179578699879,27.79069767441861,53.398995061075425,20.94373734578032,38.591394018756375,11.257734562444739,21.509227114927825,35.336008024072214,68.61247864965338,4.956268221574348,49.2940183602355,31.432497423565792,100.0,14.474960277299978,30.926020532568813,20.817080178131544,79.54545454545456
Bosnia and Herzegovina,2018,1.0869565217391255,66.87775698933046,51.41320560822024,37.674418604651166,57.38015424311516,18.543172587716086,42.13710065666584,11.617628488445519,32.11035994883976,42.44734202607824,74.0606273212914,4.81049562682216,49.2940183602355,30.298866368945397,100.0,14.44551063509256,30.892244508291338,20.800784008766694,79.54545454545456
Bosnia and Herzegovina,2019,0.16722408026754465,66.49761593855874,51.41320560822024,38.25581395348836,53.463322588253845,22.226295031010366,45.05719347570721,11.78494759439323,32.13594006943177,51.50117017719826,68.03161298782243,4.227405247813415,50.05463082984201,29.199587770525596,100.0,17.431746370578757,34.615435256580284,22.589801097445235,79.54545454545456
