Economy,Year,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Carbon dioxide (CO2) net fluxes from LULUCF - Total excluding non-tropical fires (Mt CO2e),Total greenhouse gas emissions per capita excluding LULUCF (t CO2e/capita),Electricity production from coal sources (% of total),"Energy imports, net (% of energy use)",Energy intensity level of primary energy (MJ/$2021 PPP GDP),Energy use (kg of oil equivalent per capita),Fossil fuel energy consumption (% of total),Renewable electricity output (% of total electricity output),Renewable energy consumption (% of total final energy consumption),Cooling Degree Days,Heating Degree Days,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Standardised Precipitation-Evapotranspiration Index,"Agriculture, forestry, and fishing, value added (% of GDP)",Food production index (2014-2016 = 100),"Adjusted savings, natural resources depletion (% of GNI)","Adjusted savings, net forest depletion (% of GNI)","Annual freshwater withdrawals, total (% of internal resources)",Forest area (% of land area),Terrestrial and marine protected areas (% of total territorial area),Tree Cover Loss
Belgium,2019,11.2144,-0.4425,10.8271,2.6857,90.9302,3.83,4775.9575,0.0,21.7448,10.2,229.18,5097.44,51.5848,-1.0189,0.7188,101.26,0.0293,0.0083,34.9917,22.6044,26.1,5577.1182
Belgium,2020,11.2161,-0.4546,10.0248,2.0983,89.0758,3.71,4386.4305,0.0,27.4043,12.3,249.04,4730.82,52.1698,-1.2724,0.7128,101.9,0.0188,0.0076,35.3885,22.6044,17.6,5408.5821
Bosnia and Herzegovina,2012,35.5047,-7.5463,8.0759,69.5001,33.2945,6.85,1821.2122,91.9474,29.9404,15.3,701.47,5643.58,2.9064,-1.2991,6.1377,91.82,0.2662,0.0,1.233,41.5195,,2433.6472
Bosnia and Herzegovina,2013,33.7419,-6.141,8.1429,58.0769,29.7224,6.46,1787.3925,92.5037,41.4781,19.5,420.56,5348.83,2.8938,0.6689,6.8414,104.99,0.204,0.0001,1.2276,41.7454,1.6,2573.8976
Bosnia and Herzegovina,2014,32.4818,-6.398,7.8225,62.8032,28.2127,5.94,1682.3129,,36.7829,23.6,245.59,4830.72,2.7384,1.9666,5.9511,88.85,0.1674,0.0368,1.1617,41.9713,1.1,1789.5445
Bosnia and Herzegovina,2015,33.8055,-6.398,7.9142,63.9452,33.7089,5.86,1755.0438,85.3255,35.5831,25.2,594.1,5438.09,2.7789,-1.0013,6.0376,99.16,0.2194,0.1337,1.1789,42.1973,1.5,580.5049
Bosnia and Herzegovina,2016,30.3847,-6.398,8.9987,67.6591,31.56,6.21,1945.2548,0.0,31.8909,23.0,360.53,5403.66,2.7862,0.0896,6.1656,111.99,0.1982,0.0873,1.182,42.51,1.4,2307.9795
Bosnia and Herzegovina,2017,30.9018,-6.398,9.2899,75.0639,34.0764,6.0,1966.743,0.0,24.4239,18.5,557.54,5653.66,2.662,-1.4686,5.431,94.61,0.1654,0.0146,1.1293,42.7326,1.4,1339.3148
Bosnia and Herzegovina,2018,32.499,-6.398,9.5234,64.9113,24.2811,6.41,2205.4002,0.0,34.7129,35.4,385.78,5088.32,2.0717,-0.752,5.7188,114.96,0.126,0.0,0.8789,42.7326,1.4,2673.232
Bosnia and Herzegovina,2019,26.7158,-6.398,9.1325,62.6708,27.3941,6.02,2157.7163,0.0,36.9519,36.8,505.27,5104.54,2.0286,0.0867,5.45,105.39,0.0557,0.0,0.8606,42.7326,1.4,1232.2104
Bosnia and Herzegovina,2020,26.602,-6.398,9.2366,70.2086,25.3934,6.1,2152.7302,0.0,29.5306,37.7,386.4,5182.29,2.0005,-1.0435,5.9144,115.06,0.0469,0.0,0.8487,42.7326,3.6,1842.1803
Bulgaria,2012,23.0864,-7.9393,8.5459,48.3698,37.354,5.5,2493.0781,72.7741,12.7739,15.6,1022.33,5209.32,42.2396,-0.9123,4.4301,83.86,0.7467,0.0,27.2124,34.7771,,9977.5057
