Economy,Year,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),Carbon dioxide (CO2) net fluxes from LULUCF - Total excluding non-tropical fires (Mt CO2e),Methane (CH4) emissions (total) excluding LULUCF (Mt CO2e),Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e),Total greenhouse gas emissions excluding LULUCF (Mt CO2e),Total greenhouse gas emissions per capita excluding LULUCF (t CO2e/capita),Electricity production from coal sources (% of total),"Energy imports, net (% of energy use)",Energy intensity level of primary energy (MJ/$2017 PPP GDP),Energy use (kg of oil equivalent per capita),Fossil fuel energy consumption (% of total),Renewable electricity output (% of total electricity output),Renewable energy consumption (% of total final energy consumption),Cooling Degree Days,Heat Index 35,Heating Degree Days,Land Surface Temperature,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Population density (people per sq. km of land area),Standardised Precipitation-Evapotranspiration Index,Agricultural land (% of land area),"Agriculture, forestry, and fishing, value added (% of GDP)",Food production index (2014-2016 = 100),"Adjusted savings, natural resources depletion (% of GNI)","Adjusted savings, net forest depletion (% of GNI)","Annual freshwater withdrawals, total (% of internal resources)",Forest area (% of land area),Terrestrial and marine protected areas (% of total territorial area),Tree Cover Loss
Armenia,2013,-2.3708130109186634,1.3511832666580275,1.4871775055043817,-0.4829950836778602,0.9704893888333612,1.2529512317689748,1.2965297278031518,1.5708777973306478,0.8922889524872001,-0.42491357213241737,0.07641000716483537,1.8819853416987073,-0.1640276974797962,-0.29678175297011966,-0.9543298933148741,0.2676023363469573,0.16410245050057407,-0.7571546816913762,0.08458619051937116,2.1033408463051058,-0.24631948893879962,0.4341211975307453,-0.9106226147139087,-3.677346602577308,-0.9187330576078345,-0.23683433157830738,-3.029834654641111,-1.0732712095354733,-1.1861497742745533,0.5798551026334017,1.8183254693556385
Armenia,2014,-2.230574160834795,1.324021383675274,1.458523822445733,-0.48190617036323413,0.9575671048713975,1.2383091992543627,1.271598832157244,1.5375093625089107,0.8922889524872001,-0.41503386419476773,-0.02075185437914683,1.7247227811231827,0.0007690655437872188,-0.3930188665627253,-0.9354846387904695,-0.058834080186407275,0.16410245050057407,-0.6493130485862185,-0.1336430428591198,2.003112307973535,-0.24373766749793854,0.057741773928347756,-0.906161319403167,-3.5842137154739278,-0.2837747041317749,0.24237923724659466,-3.1903185714159497,-1.047006975458587,-1.1865761687751282,0.5636434971821711,1.8513099141495941
Armenia,2015,-2.1989534726936824,1.338454175745521,1.4713538297854265,-0.48233484613413113,0.945985158147135,1.2328928842556415,1.2765843888290256,1.5414849504543122,0.8922889524872001,-0.39450665938670965,-0.02075185437914683,1.658526516549059,0.21087078060134432,-0.29330635089804774,-0.7093415844976131,-0.14656508731671214,0.16410245050057407,-0.6726307288762562,-0.029338512874156293,2.4377846253974083,-0.2408328914209346,1.3056177566618397,-0.8984037452551566,-3.3662961083568947,0.9124299332722043,-0.05027905644864753,-3.518013766501391,-1.1552935675291793,-1.1870025632757033,0.5636434971821711,2.786746122014935
Armenia,2016,-2.058003722913942,1.363515089582703,1.4937452473568436,-0.4800966982990823,0.9331291573304917,1.2331441093560611,1.2883403964259965,1.553199682933429,0.8922889524872001,-0.3977186391458154,0.07155191408763616,1.7297611118921645,0.20011085449327548,-0.1437122805214477,-0.5522977967942406,0.08908979401359307,0.16410245050057407,-0.8069997700715462,0.19801015933485042,2.342832924800069,-0.23693437003229026,-0.32472230548286424,-0.898596994433221,-3.1525628068070755,-0.4712878635086153,0.30698980611477206,-2.9955581134045133,-1.1328261245363829,-1.187434798796834,0.5636434971821711,1.9354517650007468
Armenia,2017,-1.9360255798776818,1.3311839534648324,1.4591347751761947,-0.4850806912565662,0.9587843802426513,1.234715801865616,1.2735321697790423,1.5309628943588163,0.8922889524872001,-0.40141831765796976,0.10555856562803004,1.6227060062940084,0.20520766159709783,-0.2573030535086433,-0.5899883058430501,-0.18716790590417862,0.16410245050057407,-0.7849130438434868,-0.048609207241468576,2.008389145707767,-0.23282929132680608,-1.2928779683197014,-0.8972387287816834,-2.7941500808596134,-0.563104651893138,0.2793279842659045,-3.28899579983614,-1.0484104080254124,-1.1878670343179647,0.5636434971821711,1.8191245050064409
Armenia,2018,-1.9486070428071427,1.3053443557660631,1.430114520479269,-0.4850806912565662,0.9937047127748454,1.237046780182636,1.2648377030368847,1.5168628091124587,0.8922889524872001,-0.42030562546208067,0.27559182332999876,1.6791928806005687,-0.09607026942883405,-0.2271374975616891,-0.6842145784650735,-0.11328303387348553,0.16410245050057407,-0.48853899566763215,-0.16130483485251382,1.849079897878061,-0.22950684014071526,1.5618686898673517,-0.8995632403235425,-2.524095512963372,-2.0839010341494393,-0.2233337474582407,-3.7125312623276634,-1.0049376980092972,-1.1882934288185396,0.5636434971821711,2.482426546697006
Armenia,2019,-1.8424004944550427,1.2611032283393666,1.3799553013083727,-0.4850806912565662,1.0028380344623784,1.221533171225956,1.2331794436988102,1.4724952476417774,0.8922889524872001,-0.4272590153475934,0.27073373025279956,1.530577081034443,-0.061525243502928414,-0.18054453719567992,-0.7344685905301527,-0.05726740499372024,0.16410245050057407,-0.6496756168005121,-0.20011935153880098,2.008389145707767,-0.22742456330605407,-1.2250775178786226,-0.8989834927893496,-1.903714453804775,-2.369696952923796,-0.6599897192600874,-3.462433116774537,-1.0484104080254124,-1.1887256643396704,0.6609131298895552,2.9907910065269134
Armenia,2020,-1.6907635911643601,1.2181946430699453,1.3292156770435377,-0.4850806912565662,0.9966347727710473,1.2285698734118364,1.2000976558947443,1.4254772942074954,0.8922889524872001,-0.4271465338380512,0.03268716947004349,1.4233477168217925,-0.08587665522118937,-0.48375293588891427,-0.8538218691847157,0.07601144921841624,0.16410245050057407,-0.6842279500452306,-0.18057552921982584,1.9714617411077553,-0.22710402223014997,1.3739397490293876,-0.8970454796036189,-1.8585855630859924,-1.851126077681638,-0.6004859520187297,-3.8014751759230276,-1.0385376748757873,-1.189157899860801,0.6609131298895552,2.103841383258065
Austria,2012,-0.03413680505850749,-0.24638666949424384,-0.4589513221079657,0.27033457192075655,0.08758952085769178,0.21806481156973942,-0.18920084906566534,-0.315803721958746,0.5415511704699512,-0.3832797850103937,0.5039221979583567,-0.6831523026794794,0.34168882959944624,1.5643524881250521,0.779433522930358,0.1520213981775303,0.16410245050057407,-0.6888682182908212,0.5400270499169108,-0.5211720628967706,-0.20991744217130487,0.6031007817069719,0.5232310724724065,0.6910427390074017,-0.4712878635086153,0.37312799620967,-0.29617562274835546,0.41694884058184073,0.8765248607260396,0.6365957217127091,-0.205384495402974
Austria,2013,-0.025055258284615342,-0.25198073694324546,-0.46533577814128907,0.30263089433216533,0.07683987144231495,0.21515138312998014,-0.19572639774048056,-0.32587521142042997,0.5258044943875946,-0.36872846786788244,0.4844898256495602,-0.6951573048083043,0.3688718008198313,1.693090254241592,0.7919970259466279,0.11301433953566169,0.16410245050057407,-0.7188018673643018,0.435434218205192,-0.5267888356683912,-0.21551665804131231,1.3129193436324171,0.5358088332618491,0.7269558892437933,-0.43507842583584605,0.4007196635707037,-0.2727858049053824,0.4250625122556211,0.8790715456883778,0.6365957217127091,-0.06809549930910001
Austria,2014,0.24883101052506074,-0.21599038457264336,-0.3141555249885689,0.3854688408197726,0.08880299473496836,0.19480213441444388,-0.16628766119593966,-0.19274602308875022,0.5880263601644493,-0.3937699491506746,0.5476450356531485,-0.6119212102177758,0.4413597240741908,1.8165390266112718,0.861096292536112,0.5179894705565402,0.16410245050057407,-0.4726005182168887,0.1983288086117903,-0.5324108382098176,-0.2229418892834523,0.2399337535751434,0.5372830484202258,0.7275206421424357,0.31497421167151357,0.42024163312830026,-0.26944183352844886,0.43325700247929655,0.8816182306507158,0.9851452389141688,-0.1607405891138857
Austria,2015,0.14137539579798458,-0.2302908349342386,-0.3387769200261711,0.3232409289371347,0.11940161761999031,0.2000553376934112,-0.17574301403759843,-0.19995508922974517,0.5753513084295863,-0.3645586651651657,0.5282126633443521,-0.6338336162939306,0.4039831386461611,1.6448199161677854,0.8045605289628974,-0.09536677671510246,0.16410245050057407,-0.547330841083441,0.2555946358104014,-0.5380276109814381,-0.233592564921064,-0.5001342400855521,0.5344395248001363,0.7614058160609753,-0.2889474809421713,0.4839908241459753,-0.27612913358168223,0.44153393749773934,0.8841649156130539,0.993251041639784,-0.08142417892447898
Austria,2016,0.32486658570377375,-0.23434035233789346,-0.327627032695247,0.34969064860242066,0.11594657742238368,0.19509091154822425,-0.18021395449902014,-0.189486040973521,0.6546409350614213,-0.3755901797777682,0.5427869425759495,-0.6346328448941839,0.3943558363389414,1.6876533710448565,0.7919970259466279,0.32705024945307115,0.16410245050057407,-0.6142353758204657,0.36906412595115773,-0.5436496135228647,-0.24386782129455212,-0.6953647678940937,0.5667397445623142,0.7599425926417657,0.13134063490247005,0.5211904554175054,-0.17722980633964294,0.44989499314049264,0.8867174415959479,0.9284046198348614,-0.36292323211894667
Austria,2017,0.3887323923997769,-0.25666004016479216,-0.39189925993980623,0.04912928498893316,0.10033098479704394,0.21279353632040218,-0.19979212863329016,-0.24580687020004302,0.6678436026961868,-0.3855751818523103,0.5476450356531485,-0.6551399276912375,0.3484845724045427,1.6018658146342368,0.7543065168978185,0.0780961167643116,0.16410245050057407,-0.6602399494654853,0.40731721295902706,-0.5492716160642912,-0.25046898573496795,0.9900848911475895,0.5771475931523491,0.7469532759729921,-0.1441097302510943,0.5062091863620117,-0.15031244847471678,0.45834189685828525,0.8892582855377303,0.993251041639784,-0.3871220672912815
Austria,2018,0.31228298960887113,-0.22849730421981676,-0.27920902880616605,-1.5288475836590587,0.1004973347961603,0.2256229222780922,-0.1760552308337747,-0.14472092070829942,0.6765717602961215,-0.3886752641010863,0.6205164318111352,-0.5958816952093978,0.3609434342138857,1.6462793515283982,0.7605882684059534,0.06422510332421145,0.16410245050057407,-0.48451929569831964,0.33128142597115184,-0.5548883888359117,-0.2550984046492815,-0.5945333287765922,0.578345738056348,0.7702621683351392,0.11840869287648184,0.4714284836067569,-0.3478557135207132,0.4668764298651896,0.8917991294795129,0.993251041639784,-0.5174963717253269
Austria,2019,0.5169009326678504,-0.24163209883934614,-0.3152246922668769,-1.2074440278560643,0.10290579284676873,0.21795909345448258,-0.18619746599523807,-0.1710923207461299,0.7042450097437125,-0.4287180835136247,0.615658338733936,-0.6195364996662341,0.3054448679722665,1.645567147072419,0.7543065168978185,-0.0073105551747566794,0.16410245050057407,-0.5211565782788954,0.2933621620153147,-0.5605103913773383,-0.25932411995573296,1.1201226781474016,0.579427933453508,0.7868196964998802,0.04728301173354106,0.5071224841164034,-0.15199600415464096,0.47550042939305937,0.8882769940843526,0.993251041639784,-0.6067598517616684
Austria,2020,0.6203072617527556,-0.1817167547629478,-0.10218547515492062,0.22965292093586218,0.10895945565505243,0.23373725198283613,-0.1344973597801827,0.023022386668009643,0.7594810774040309,-0.35073968716831555,0.6010840595023389,-0.5095361704411164,0.4113451933516825,1.7564647753408311,0.8673780440442465,0.3632720035484484,0.16410245050057407,-0.5580935948605352,0.3312207308707825,-0.5605103913773383,-0.2632701019836916,0.9871294868975937,0.6119103595835752,0.7799399793709646,0.29040352182213486,0.5611407986473429,0.025673027336624767,0.47550042939305937,0.8902746231144435,1.0499916607190916,-0.5120038804097464
Azerbaijan,2012,-1.5831563407089573,0.2533271946834113,0.9815835734108932,0.04619029221000942,-0.2566361713887171,0.5829140279735175,0.15077462898000757,0.8814048319194756,0.8922889524872001,3.210759521621437,-0.19078511208111537,1.0684777554919054,-1.4659787565561426,-1.0874571294184578,-1.2055999536402702,-0.980074389768023,-0.04342758057743528,0.2329553538403717,-1.4229738862330443,1.7513093513552993,-0.30124338368623754,0.2508861340310101,-0.8317879928738449,-0.2644421537365118,-0.5449999330567533,-4.376495496188797,0.41783293219562184,-2.072810508961613,-1.1206193646587912,-0.790025557995591,0.8590176679049787
Azerbaijan,2013,-1.5074785773290094,0.23479964652620605,0.9650267544153841,0.04510597189581617,-0.2670852297203134,0.5687309203198994,0.13461117330132152,0.8650519135040572,0.8922889524872001,3.2102420157613425,-0.0984813436143326,1.067735292962613,-1.4512546471451004,-1.1247525135804577,-1.2244452081646748,-0.8439062015704547,0.16410245050057407,0.25669347378878127,-1.2717672174375592,1.7556971282225151,-0.3135306011608831,0.13266996403118075,-0.832748717359079,-0.3225860317103696,-0.14798931285889114,-4.320042848937926,0.41783293219562184,-2.074106364715919,-1.114211765109055,-0.790025557995591,1.3622920883661087
Azerbaijan,2014,-1.3552798024864736,0.2057336936585714,0.9299275200503657,0.04611212291952364,-0.2738230280701184,0.5477775056587345,0.11161681627819245,0.8327171315481247,0.8922889524872001,3.1947234536673417,-0.1081975297687306,1.0335413405732778,-1.459749325651471,-1.163048097442931,-1.2495722141972143,-1.0320061882828013,-1.8593153525100172,0.23427946351398748,-1.5742109025787137,1.6628582546267912,-0.3253541202027636,-0.6049641673059889,-0.8325278611555766,-0.31054652673476724,-0.6148324199970927,-3.9179737104524803,0.41783293219562184,-2.046251712066511,-1.107833370662098,-0.8629777825261291,1.0764931869863652
Azerbaijan,2015,-1.2460580612628074,0.20953712766096194,0.9494780074251367,0.04589988597614814,-0.27476144184340284,0.5489226108837181,0.11334431550094737,0.8541322986140211,0.8922889524872001,3.193198447631407,-0.08876515745993416,1.051904745288785,-1.4410610329374567,-1.1075389599804863,-1.2370087111809447,-1.0150218312408048,-1.2886077670454916,0.2034644284230461,-1.309610612517934,1.6852625884756014,-0.3366833875184956,1.4554741368675053,-0.8325996394217148,-0.530851498377879,0.2166914522739968,-3.1969151798836264,0.41783293219562184,-2.0530595782759837,-1.101419930091806,-0.8629777825261291,1.9763605851152015
Azerbaijan,2016,-1.1692034570542003,0.21157307482378895,0.9649962067788611,0.04582167013873954,-0.27021849464822695,0.5628053205520859,0.1162885371966812,0.8767931499028098,0.8922889524872001,3.1883108340348225,-0.13248799515472603,1.0885804643921206,-1.4767386826642115,-1.0539212507453954,-1.2621357172134844,-0.9094649652230319,-0.769782689350468,0.11244561348459628,-1.1960652535017164,1.728910247276295,-0.34723513183259547,0.7303570117656115,-0.8344658743413073,-0.3838873917993642,0.5568015275575078,-3.289970603366469,0.41783293219562184,-2.0661647936079364,-1.0947085974731672,-0.8629777825261291,1.9934047017143914
Azerbaijan,2017,-1.0628257560302552,0.21509512361104052,0.9812475494091394,0.04582167013873954,-0.25721181189750464,0.5375939380817032,0.11930612256131445,0.8973336876207176,0.8922889524872001,3.152856633763474,-0.1470622743863235,1.0912388355551883,-1.4897638563739792,-1.0795722866435218,-1.2621357172134844,-0.9642389443847167,-0.614135166041961,0.17320373782670587,-1.3853580977790545,1.7847955674229776,-0.35666076095956645,-1.3883201408636812,-0.8377787173938385,-0.38447781528430847,1.052094907152885,-3.6571101867954727,0.41783293219562184,-2.0826458443364615,-1.0877753060734068,-0.8629777825261291,1.586171171927846
Azerbaijan,2018,-1.0622281146348311,0.20502329324731505,0.9740383071896925,0.04582167013873954,-0.25973484913670675,0.5183129002716113,0.11037667539211243,0.8906016920331712,0.8922889524872001,3.1632490545134933,-0.12762990207752703,1.1004350526351345,-1.4886312325731301,-1.0792103466740899,-1.2621357172134844,-0.9927391546983733,-4.712853279832645,0.3850398527702567,-1.423095276433783,1.7956525695401881,-0.3649944804975609,-0.22893243832123805,-0.839424096109929,-0.2830789993917085,1.7762836606082664,-4.166880157087173,0.41783293219562184,-2.0858089460551,-1.07955114913081,-0.8629777825261291,1.6082332497980425
Azerbaijan,2019,-0.9403654116274608,0.1645771476474054,0.915417392701903,0.04582167013873954,-0.271603915103496,0.452581848721095,0.07661984604072462,0.8291656063168994,0.8922889524872001,3.1459572662096744,-0.26365650823910214,0.9538334922198008,-1.498824846780774,-1.1106290711173568,-1.274699220229754,-0.9584676371718216,-0.09531008834693763,0.3138106755250873,-1.4613028421163752,1.8933446695158596,-0.3730493453757861,-1.879264940980619,-0.8395566098320303,-0.4070679312300016,2.8276505473211686,-3.8834988390678986,0.41783293219562184,-2.1137415033131433,-1.0714029254554391,-0.8629777825261291,2.253545159343446
Azerbaijan,2020,-0.9095527288828125,0.19306926000230723,0.9708613529912924,0.04582167013873954,-0.26521728945489736,0.46066578832519656,0.09652843120953988,0.8828095396601842,0.8922889524872001,3.1461510519419935,-0.302521252856695,1.0140279356882669,-1.5050542776854456,-1.182927552968288,-1.2998262262622935,-0.9278724735625361,-0.09531008834693763,0.24430192583874336,-1.536670983000186,1.803983592841111,-0.37965214822248416,-0.14270417314489187,-0.8401308359611355,-0.6749404992905785,2.923346918313488,-2.8931029368490506,0.41783293219562184,-2.088228752132347,-1.0631787685128424,-0.8629777825261291,2.032536582005638
Belgium,2012,-0.10777792424001421,-0.5126235011393616,-0.7928369893052244,-0.5163512035687344,-0.11883782990671334,-0.5180562228704173,-0.4710236154066084,-0.7202800395238992,0.6231312227137654,-0.4807227691513127,-0.04504231976514227,-1.0728598489075696,0.10100627191895592,-0.8416726473807917,-0.8977941297416601,0.4588472594456151,0.16410245050057407,-0.04929835370153792,0.17490049986916814,2.390868360467979,-1.427738243765205,0.6714227740745203,-0.07124204908902822,0.8381608691037281,-1.062277614096312,0.5503188953550245,0.16055438083189022,-1.0932675472929532,-0.5350628949582384,0.6609131298895552,0.0433465377898104
Belgium,2013,0.019350676983877005,-0.5211920533485848,-0.8160837406992879,-0.32862213828112513,-0.12032343279216709,-0.5217546757281633,-0.4784763760454554,-0.7395748930189149,0.6395772966169228,-0.48486405870256283,-0.12277180900032804,-1.1384930029391231,0.115164069429573,-0.787264897137156,-0.8601036206928506,0.23390652577457033,0.16410245050057407,-0.1848986168487264,0.1369964096884233,2.088258190184665,-1.4322473491804093,1.2018309132943423,-0.0794302928338674,0.8586973381452674,-0.4868061939398026,0.5572115638263307,0.17427175092605343,-1.01847737563293,-0.5352848537393599,0.6609131298895552,0.23629572352191622
Belgium,2014,0.2579876828353266,-0.47709694539016023,-0.6208843433168103,-0.33278052732373814,-0.11449061554619167,-0.5088617425946346,-0.4418739114013256,-0.5651525978943308,0.6520560261564734,-0.4944512339407748,0.027829076392844487,-1.025531937822935,0.02058998205865081,-0.6773363339481907,-0.8098496086277714,0.5524050927323356,0.16410245050057407,0.29903301202272914,-0.0620835195234946,1.9128621704317703,-1.436494110471067,0.8291022831772337,-0.06996660451380378,0.8710448901564928,0.28523074501173845,0.5486002456019877,0.19486810938459267,-0.9717964005250166,-0.5355009714999251,0.6528073271639396,0.1468615225800725
