Economy,Year,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),Carbon dioxide (CO2) net fluxes from LULUCF - Total excluding non-tropical fires (Mt CO2e),Methane (CH4) emissions (total) excluding LULUCF (Mt CO2e),Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e),Total greenhouse gas emissions excluding LULUCF (Mt CO2e),Total greenhouse gas emissions per capita excluding LULUCF (t CO2e/capita),Electricity production from coal sources (% of total),"Energy imports, net (% of energy use)",Energy intensity level of primary energy (MJ/$2021 PPP GDP),Energy use (kg of oil equivalent per capita),Fossil fuel energy consumption (% of total),Renewable electricity output (% of total electricity output),Renewable energy consumption (% of total final energy consumption),Coastal protection,Cooling Degree Days,Heat Index 35,Heating Degree Days,Land Surface Temperature,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Population density (people per sq. km of land area),Proportion of bodies of water with good ambient water quality,Standardised Precipitation-Evapotranspiration Index,Agricultural land (% of land area),"Agriculture, forestry, and fishing, value added (% of GDP)",Food production index (2014-2016 = 100),"Adjusted savings, natural resources depletion (% of GNI)","Adjusted savings, net forest depletion (% of GNI)","Annual freshwater withdrawals, total (% of internal resources)",Forest area (% of land area),"Mammal species, threatened",Terrestrial and marine protected areas (% of total territorial area),Tree Cover Loss
Bosnia and Herzegovina,2012,35.5047,23.3108,6.3515,-7.5463,4.7167,0.9246,29.6393,8.0759,69.5001,33.2945,6.85,1821.2122,91.9474,29.9404,15.3,,701.47,0.0,5643.58,16.8131,2.9064,71.6819,,-1.2991,42.1094,6.1377,91.82,0.2662,0.0,1.233,41.5195,,,2433.6472
Bosnia and Herzegovina,2013,33.7419,23.2132,6.4287,-6.141,4.661,0.9804,29.4029,8.1429,58.0769,29.7224,6.46,1787.3925,92.5037,41.4781,19.5,,420.56,0.0,5348.83,16.0633,2.8938,70.5246,,0.6689,42.207,6.8414,104.99,0.204,0.0001,1.2276,41.7454,,1.6,2573.8976
Bosnia and Herzegovina,2014,32.4818,20.7957,5.8336,-6.398,5.5401,0.9778,27.886,7.8225,62.8032,28.2127,5.94,1682.3129,,36.7829,23.6,,245.59,0.0,4830.72,16.9381,2.7384,69.6256,,1.9666,42.1289,5.9511,88.85,0.1674,0.0368,1.1617,41.9713,,1.1,1789.5445
Bosnia and Herzegovina,2015,33.8055,20.8309,5.9203,-6.398,5.6036,0.9789,27.8464,7.9142,63.9452,33.7089,5.86,1755.0438,85.3255,35.5831,25.2,,594.1,0.0,5438.09,16.9395,2.7789,68.7215,,-1.0013,42.5,6.0376,99.16,0.2194,0.1337,1.1789,42.1973,,1.5,580.5049
Bosnia and Herzegovina,2016,30.3847,23.5062,6.7683,-6.398,5.8936,1.4056,31.2525,8.9987,67.6591,31.56,6.21,1945.2548,0.0,31.8909,23.0,,360.53,0.0,5403.66,15.8136,2.7862,67.8321,,0.0896,43.1445,6.1656,111.99,0.1982,0.0873,1.182,42.51,,1.4,2307.9795
Bosnia and Herzegovina,2017,30.9018,23.9898,6.9968,-6.398,5.9458,1.4112,31.8522,9.2899,75.0639,34.0764,6.0,1966.743,0.0,24.4239,18.5,,557.54,0.0,5653.66,16.6889,2.662,66.9664,5.79,-1.4686,43.5156,5.431,94.61,0.1654,0.0146,1.1293,42.7326,,1.4,1339.3148
Bosnia and Herzegovina,2018,32.499,24.0642,7.1049,-6.398,6.2162,1.4516,32.2559,9.5234,64.9113,24.2811,6.41,2205.4002,0.0,34.7129,35.4,,385.78,0.0,5088.32,16.1911,2.0717,66.1523,,-0.752,43.1836,5.7188,114.96,0.126,0.0,0.8789,42.7326,4.0,1.4,2673.232
Bosnia and Herzegovina,2019,26.7158,22.5975,6.7545,-6.398,5.9748,1.3951,30.553,9.1325,62.6708,27.3941,6.02,2157.7163,0.0,36.9519,36.8,,505.27,0.0,5104.54,17.0646,2.0286,65.3424,,0.0867,43.2812,5.45,105.39,0.0557,0.0,0.8606,42.7326,,1.4,1232.2104
Bosnia and Herzegovina,2020,26.602,22.5364,6.8306,-6.398,5.9363,1.441,30.4749,9.2366,70.2086,25.3934,6.1,2152.7302,0.0,29.5306,37.7,,386.4,0.0,5182.29,16.8127,2.0005,64.4404,30.58,-1.0435,43.7891,5.9144,115.06,0.0469,0.0,0.8487,42.7326,,3.6,1842.1803
Bulgaria,2012,23.0864,49.9165,6.8324,-7.9393,8.8509,3.0992,62.4353,8.5459,48.3698,37.354,5.5,2493.0781,72.7741,12.7739,15.6,74.93,1022.33,0.0,5209.32,19.6865,42.2396,67.2982,,-0.9123,47.1905,4.4301,83.86,0.7467,0.0,27.2124,34.7771,,,9977.5057
Bulgaria,2013,21.4901,44.452,6.2084,-6.9319,8.4803,3.3146,57.0464,7.9674,44.2588,39.0539,5.12,2353.3076,70.507,17.5078,18.2,74.93,706.77,0.0,4794.75,19.8123,40.4169,65.9544,,-0.939,46.0114,4.5154,102.69,0.5049,0.0,26.0381,34.9539,,35.0,3692.7615
Bulgaria,2014,21.9922,47.315,6.689,-8.1906,8.4285,3.8231,60.5257,8.5566,44.8621,35.7152,5.32,2499.707,71.9161,16.7401,17.1,74.93,558.35,0.0,4796.53,20.0625,39.7369,65.1582,,2.2212,45.8456,4.5587,100.74,0.3158,0.0,25.6,35.1308,,31.5,6688.4507
Bulgaria,2015,20.7937,49.8572,7.1385,-7.7694,8.5777,3.5186,62.7186,8.98,45.7513,37.1318,5.36,2637.5035,36.0045,18.794,17.9,74.93,738.4,0.0,4857.24,19.5626,41.6099,64.3352,,0.4252,46.1671,4.062,97.47,0.2323,0.0,26.8067,35.3077,,32.8,7293.0669
Bulgaria,2016,19.9792,47.1301,6.8363,-9.5771,8.4585,3.9333,60.3089,8.7479,42.766,39.3294,5.07,2606.6105,0.0,17.0803,17.7,74.93,774.68,0.0,4952.14,18.9372,42.0504,63.5053,,-0.2804,46.2509,4.0549,101.79,0.1872,0.0,27.0905,35.3814,,28.3,7394.7091
Bulgaria,2017,20.0338,49.2832,7.2438,-9.5484,8.6168,3.8836,62.5683,9.1965,45.852,40.2668,5.11,2732.2224,0.0,14.8995,17.1,74.93,778.88,0.0,5169.81,19.1855,41.8213,62.6701,35.56,0.3132,46.3294,4.0432,106.22,0.3094,0.0,26.9429,35.5011,,28.3,7687.6226
